year,turnover_abroad_eur_bn,employees,us_turnover_eur_bn,us_share_pct
2010,1651.3,4683915,301.3,18.2
2011,1835.2,4902365,351.4,19.1
2012,1906.2,5084676,367.3,19.3
2013,1856.2,5147458,354.0,19.1
2014,2020.5,5315312,430.9,21.3
2015,2162.2,5590071,502.1,23.2
2016,2313.2,5708742,518.7,22.4
2017,2353.7,5958772,478.4,20.3
2018,2487.3,6107493,510.9,20.5
2019,2617.8,6190174,549.2,21.0
2020,2415.9,6070067,458.3,19.0
2021,2679.7,6190641,550.0,20.5
2022,3253.8,6487289,649.3,20.0
2023,3391.8,6691962,759.7,22.4
