year,turnover_raw_bn,turnover_adj_bn,gdp_bn,ratio_adj,raw_yoy,adj_yoy,gdp_yoy,gap_pp,taxpayers
2002,4252.6,4252.6,2227.0,1.91,,,,,2926570
2003,4248.1,4248.1,2244.3,1.893,-0.1,-0.1,0.8,-0.9,2915482
2004,4347.5,4347.5,2286.0,1.902,2.3,2.3,1.9,0.5,2957173
2005,4567.4,4567.4,2322.5,1.967,5.1,5.1,1.6,3.5,3036758
2006,4930.0,4930.0,2427.0,2.031,7.9,7.9,4.5,3.4,3099493
2007,5148.3,5148.3,2545.6,2.022,4.4,4.4,4.9,-0.5,3140509
2008,5412.2,5412.2,2586.0,2.093,5.1,5.1,1.6,3.5,3186878
2009,4897.9,4897.9,2492.0,1.965,-9.5,-9.5,-3.6,-5.9,3135542
2010,5241.0,5241.0,2609.8,2.008,7.0,7.0,4.7,2.3,3165286
2011,5687.2,5687.2,2743.1,2.073,8.5,8.5,5.1,3.4,3215095
2012,5752.2,5752.2,2800.6,2.054,1.1,1.1,2.1,-1.0,3250319
2013,5765.6,5765.6,2871.2,2.008,0.2,0.2,2.5,-2.3,3243538
2014,5870.9,5870.9,2989.1,1.964,1.8,1.8,4.1,-2.3,3240221
2015,5989.7,5989.7,3084.4,1.942,2.0,2.0,3.2,-1.2,3255537
2016,6088.3,6088.3,3190.0,1.909,1.6,1.6,3.4,-1.8,3266429
2017,6360.8,6360.8,3337.3,1.906,4.5,4.5,4.6,-0.1,3266806
2018,6622.8,6622.8,3438.8,1.926,4.1,4.1,3.0,1.1,3279136
2019,6770.8,6770.8,3543.5,1.911,2.2,2.2,3.0,-0.8,3288306
2020,6503.5,6503.5,3443.8,1.888,-3.9,-3.9,-2.8,-1.1,3025145
2021,7692.3,7136.2,3673.2,1.943,18.3,9.7,6.7,3.1,3022411
2022,8874.5,8318.4,3982.8,2.089,15.4,16.6,8.4,8.1,3102699
2023,9049.0,8492.9,4220.8,2.012,2.0,2.1,6.0,-3.9,3124585
2024,8776.9,8220.7,4331.4,1.898,-3.0,-3.2,2.6,-5.8,3131417
